,Description,Category,SubCategory1,SubCategory2,SubCategory3
588,"On January 15, a report was made that a Christmas tree was not picked up at 108 Van Der Aastraat. The report has been canceled, but the Christmas tree is still there .. Can this tree be picked up asap? 2597SN 108. ",Waste,Pollution New Year,Christmas trees,
589,Christmas tree dumped next to lamppost.,Waste,Pollution New Year,Christmas trees,
590,Reporter indicates that there has been a Christmas tree on the street with a cloth around it for about 11 days. The wind has also hit cars a few times. Please delete,Waste,Pollution New Year,Christmas trees,
591,Christmas tree placed at the ORACs.,Waste,Pollution New Year,Christmas trees,
592,there are 6 Christmas trees at the oracs ,Waste,Pollution New Year,Christmas trees,
593,"Previously made a report (MOR1964233) of Christmas trees that have not been collected, but it has been registered incorrectly. Can this still be picked up urgently? The whole street is still full of Christmas trees.",Waste,Pollution New Year,Christmas trees,
594,There have been 6 Christmas trees next to his house for 2 weeks,Waste,Pollution New Year,Christmas trees,
595,next to the oracs there is a Christmas tree.,Waste,Pollution New Year,Christmas trees,
596,Christmas tree was not collected according to schedule on 13-01-20,Waste,Pollution New Year,Christmas trees,
597,Christmas tree was not collected in accordance with the municipality's pick-up schedule of 13-01-20.,Waste,Pollution New Year,Christmas trees,
598,Christmas tree square at the red village / hoof quay,Waste,Pollution New Year,Christmas trees,
599,Christmas tree has not been collected. (MOR1963538),Waste,Pollution New Year,Christmas trees,
600,There has been a Christmas tree here for a while. Please pick up.,Waste,Pollution New Year,Christmas trees,
601,Is a Christmas tree near the oracs,Waste,Pollution New Year,Christmas trees,
602,Very large Christmas tree is still on the street,Waste,Pollution New Year,Christmas trees,
603,"Christmas trees are still on the street, several reports have already been made. MOR1965846 ",Waste,Pollution New Year,Christmas trees,
604,multiple Christmas trees not retrieved / deleted message via social media,Waste,Pollution New Year,Christmas trees,
605,1 x Christmas tree on the roundabout,Waste,Pollution New Year,Christmas trees,
606,The gentleman has recently reported his Christmas tree that has not been collected. The report is completed but the Christmas tree is unfortunately still there. Please delete. MOR1963355,Waste,Pollution New Year,Christmas trees,
607,In the Juliana van Stolberglaan a Christmas tree of 3 meters is located next to and sometimes (due to the wind) on a disabled parking space.,Waste,Pollution New Year,Christmas trees,
608,"It is a Christmas tree, see photo)",Waste,Pollution New Year,Christmas trees,
609,Christmas trees next to oracs,Waste,Pollution New Year,Christmas trees,
610,There are a number of Christmas trees (4 pieces) and another 2.,Waste,Pollution New Year,Christmas trees,
611,"There is a Christmas tree here, 2 meters long and 1.5 meters in diameter, which has been thrown on the sidewalk. Nobody can pass it and there are many elderly people here with mobility scooters and walkers who then have to take a bit of the road to get around it.",Waste,Pollution New Year,Christmas trees,
612,"Christmas tree next to orac, but not taken.",Waste,Pollution New Year,Christmas trees,
613,Mrs. indicates that there are a lot of Christmas trees that have not yet been collected. Can this be cleaned up urgently please? It was supposed to be picked up on Monday.,Waste,Pollution New Year,Christmas trees,
614,"On the left, diagonally opposite number 35, there is a Christmas tree that has not yet been collected.",Waste,Pollution New Year,Christmas trees,
615,A pile of Christmas trees has been in the Morsestraat since 6 January. Can these be removed asap.,Waste,Pollution New Year,Christmas trees,
616,"In the Waterbiesweg of number 36, no collection was made three times. The Christmas tree is just outside the door on the sidewalk along the road. It may be that there are cars in front.",Waste,Pollution New Year,Christmas trees,
617,several Christmas trees on a hop,Waste,Pollution New Year,Christmas trees,
618,There is a Christmas tree on the grass behind the fence,Waste,Pollution New Year,Christmas trees,
619,Christmas tree and div. Besides the orac,Waste,Pollution New Year,Christmas trees,
620,"After the pick-up, still 3 Christmas trees in the square. Overlooked...",Waste,Pollution New Year,Christmas trees,
621,Ms has made a report on 07-01-2020 (MOR1956370) it concerns her Christmas tree that has not been collected to date.,Waste,Pollution New Year,Christmas trees,
622,2 Jan 6 Jan 13 Jan were the collection days for the Christmas trees. There are still Christmas trees in the staraat even after previous reports. Please pick up. The Christmas trees are now blowing in all directions due to strong winds!,Waste,Pollution New Year,Christmas trees,
623,"Christmas trees have not yet been picked up, are already on the street from last week",Waste,Pollution New Year,Christmas trees,
624,"Christmas trees have not been collected, it has been previously reported with MOR1958050 is all over the street",Waste,Pollution New Year,Christmas trees,
625,Various Christmas trees on public roads,Waste,Pollution New Year,Christmas trees,
626,Yesterday (January 14) the Christmas trees should be picked up but they are still on the street. Please remove asap,Waste,Pollution New Year,Christmas trees,
627,Christmas tree stump next to Orac,Waste,Pollution New Year,Christmas trees,
628,"Mrs. calls to inform us that there are more than 3 Christmas trees in Fultonstraat. At house number 117, across it and a few houses further",Waste,Pollution New Year,Christmas trees,
629,"Mrs. indicates that she had put her Christmas tree outside because it was to be picked up, but this did not happen, she presented it neatly for the day it was taken away.",Waste,Pollution New Year,Christmas trees,
630,"It concerns several Christmas trees in the street, these have still not been collected. Please pick it up.",Waste,Pollution New Year,Christmas trees,
631,"they did not drop by on the collection days for the Christmas trees at the address below. Due to the strong wind, the Christmas trees are going in all directions. Creates dangerous situations. Please pick up if still available.",Waste,Pollution New Year,Christmas trees,
632,"The gentleman offered his Christmas tree for collection as indicated on the garbage calendar. However, it has not yet been collected. The request to take him.",Waste,Pollution New Year,Christmas trees,
633,Christmas tree offered a day too early !!,Waste,Pollution New Year,Christmas trees,
634,"Madam indicates that she has offered her Christmas tree on the agreed day, it has not been taken, she has now placed it in the tree mirror of one of the trees. Can it be picked up?",Waste,Pollution New Year,Christmas trees,
635,Christmas tree on the street.,Waste,Pollution New Year,Christmas trees,
636,Again Christmas trees not collected! Not last Monday either. Why is our street always skipped.,Waste,Pollution New Year,Christmas trees,
637,Christmas trees next to oracs behind hubo,Waste,Pollution New Year,Christmas trees,
638,There has been a large Christmas tree on the Anna van Buerenplein at the entrance of the Q-park garage all week. Can you pick it up?,Waste,Pollution New Year,Christmas trees,
639,"Ms indicates that there have been Christmas trees in the street for 2 weeks. In the household waste calendar, it was scheduled for Tuesday. It's still there. Please delete.",Waste,Pollution New Year,Christmas trees,
640,"There has already been mention of an uncollected Christmas tree, another one has now been added. Please pick up asap.",Waste,Pollution New Year,Christmas trees,
641,There is another Christmas tree here next to the oracs that has not been collected with the standard pick-up days. Now roaming the street.,Waste,Pollution New Year,Christmas trees,
642,It concerns a Christmas tree next to the ORAC there,Waste,Pollution New Year,Christmas trees,
643,"Ms had offered her Christmas tree for the collection day, it has not been collected. Please still pick up. At the tree of the house. Blows in all directions now.",Waste,Pollution New Year,Christmas trees,
644,The Christmas tree was not taken yesterday. please delete it anyway.,Waste,Pollution New Year,Christmas trees,
645,"Mrs. Her Christmas tree is still in front of her door, they have been picked up from her on the corner of the street, but hers were not. ",Waste,Pollution New Year,Christmas trees,
